Sub-Daily Data Between Two Dates,,,,,,,,,,,,,,,,,
JEWETT FLD AP (MI),,,,,,,,,,,,,,,,,
54822,,,,,,,,,,,,,,,,,
Lat/Lon/Elev: 42.5658/-84.4331/922 ft,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Date,Time,Temp (F),RH (%),Dewpt (F),Wind Spd (mph),Wind Direction (deg),Peak Wind Gust(mph),Low Cloud Ht (ft),Med Cloud Ht (ft),High Cloud Ht (ft),Visibility (mi),Atm Press (hPa),Sea Lev Press (hPa),Altimeter (hPa),Precip (in),Wind Chill (F),Heat Index (F)
1/1/2021,0:15,19,93,18,0,0,0,7220,m,m,7,995,M,1028.8,m,NC,NC
1/1/2021,0:35,19,94,18,0,0,m,7220,m,m,7,995,M,1028.8,m,NC,NC
1/1/2021,0:55,18,100,16,0,0,m,7220,m,m,7,994.7,M,1028.4,m,NC,NC
1/1/2021,1:15,18,93,17,3,50,m,7220,m,m,10,994.4,M,1028.1,m,NC,NC
1/1/2021,1:35,18,92,16,0,0,m,7220,m,m,10,994.4,M,1028.1,m,NC,NC
1/1/2021,1:55,19,93,17,0,0,m,7220,m,m,10,994.7,M,1028.4,m,NC,NC
1/1/2021,2:15,19,93,17,0,0,0,7220,m,m,10,995,M,1028.8,m,NC,NC
1/1/2021,2:35,19,92,17,0,0,m,7220,m,m,10,995,M,1028.8,m,NC,NC
1/1/2021,2:55,19,91,17,0,0,m,7220,m,m,10,994.7,M,1028.4,m,NC,NC
1/1/2021,3:15,18,88,16,0,0,m,7220,m,m,10,995,M,1028.8,m,NC,NC
1/1/2021,3:35,18,92,17,0,0,m,7220,m,m,10,994.7,M,1028.4,m,NC,NC
1/1/2021,3:55,18,92,16,0,0,0,7220,m,m,10,995,M,1028.8,m,NC,NC
1/1/2021,4:15,18,91,16,0,0,m,1900,m,m,10,994.4,M,1028.1,m,NC,NC
1/1/2021,4:35,18,92,17,0,0,m,1900,m,m,7,993.7,M,1027.4,m,NC,NC
1/1/2021,4:55,18,91,16,5,50,m,1900,m,m,10,993.1,M,1026.8,m,11,NC
1/1/2021,5:15,19,91,17,5,70,m,7220,m,m,10,992.7,M,1026.4,m,12,NC
1/1/2021,5:35,20,91,18,6,60,m,7220,m,m,10,992.1,M,1025.7,m,12,NC
1/1/2021,5:55,20,90,18,0,0,m,7220,m,m,10,992.7,M,1026.4,m,NC,NC
1/1/2021,6:15,21,86,18,3,70,m,7220,m,m,10,992.7,M,1026.4,m,NC,NC
1/1/2021,6:35,20,91,18,0,0,0,7220,m,m,7,992.7,M,1026.4,m,NC,NC
1/1/2021,6:55,20,91,18,0,0,m,7220,m,m,7,992.7,M,1026.4,m,NC,NC
1/1/2021,7:15,21,93,19,3,80,m,7220,m,m,7,992.1,M,1025.7,m,NC,NC
1/1/2021,7:35,22,90,20,5,80,m,7220,m,m,10,991.4,M,1025.1,m,15,NC
1/1/2021,7:55,23,93,20,5,90,m,7220,m,m,10,990.8,M,1024.4,m,17,NC
1/1/2021,8:15,23,93,20,5,80,m,7220,m,m,7,990.8,M,1024.4,m,17,NC
1/1/2021,8:35,23,91,21,5,80,m,7220,m,m,10,990.4,M,1024,m,17,NC
1/1/2021,8:55,24,90,22,6,90,m,7220,m,m,10,990.4,M,1024,m,17,NC
1/1/2021,9:15,24,89,22,6,80,m,12000,m,m,10,990.4,M,1024,m,17,NC
1/1/2021,9:35,25,93,22,7,80,m,12000,m,m,7,990.1,M,1023.7,m,17,NC
1/1/2021,9:55,26,89,23,7,80,m,12000,m,m,7,989.4,M,1023,m,18,NC
1/1/2021,10:15,26,89,23,9,70,m,12000,m,m,7,989.4,M,1023,m,17,NC
1/1/2021,10:35,26,88,23,7,80,m,11000,m,m,7,989.1,M,1022.7,m,18,NC
1/1/2021,10:55,27,93,24,7,80,m,11000,m,m,7,988.8,M,1022.4,m,19,NC
1/1/2021,11:15,27,89,24,5,90,m,1300,11000,m,7,988.5,M,1022,m,21,NC
1/1/2021,11:35,28,90,25,7,80,m,1300,10000,m,7,987.5,M,1021,m,21,NC
1/1/2021,11:55,28,89,26,8,90,m,1300,8500,10000,7,986.5,M,1020,m,20,NC
1/1/2021,12:15,29,88,26,8,80,m,1300,8500,10000,10,985.5,M,1019,m,21,NC
1/1/2021,12:35,30,88,27,11,90,m,1100,8000,10000,10,984.8,M,1018.3,m,21,NC
1/1/2021,12:55,30,87,27,10,70,m,1100,6000,8000,10,984.5,M,1017.9,m,21,NC
1/1/2021,13:15,30,86,27,8,70,m,1300,7000,8000,10,984.2,M,1017.6,m,22,NC
1/1/2021,13:35,30,93,28,7,80,m,1300,2100,5500,5,984.5,M,1017.9,m,23,NC
1/1/2021,13:55,30,93,28,7,100,m,1300,m,m,2,984.8,M,1018.3,m,23,NC
1/1/2021,14:15,30,92,28,6,80,m,1100,m,m,3,984.5,M,1017.9,m,24,NC
